Identifier,Title,Description,Currency,Amount Applied For,Amount Awarded,Amount Disbursed,Award Date,URL,Planned Dates:Start Date,Planned Dates:End Date,Planned Dates:Duration (months),Actual Dates:Start Date,Actual Dates:End Date,Actual Dates:Duration (months),Recipient Org:Identifier,Recipient Org:Name,Recipient Org:Charity Number,Recipient Org:Company Number,Recipient Org:Postal Code,Recipient Org:Location:0:Geographic Code Type,Recipient Org:Location:0:Geographic Code,Recipient Org:Location:0:Name,Recipient Org:Location:1:Geographic Code Type,Recipient Org:Location:1:Geographic Code,Recipient Org:Location:1:Name,Recipient Org:Location:2:Geographic Code Type,Recipient Org:Location:2:Geographic Code,Recipient Org:Location:2:Name,Funding Org:Identifier,Funding Org:Name,Funding Org:Postal Code,Grant Programme:Code,Grant Programme:Title,Grant Programme:URL,Beneficiary Location:0:Name,Beneficiary Location:0:Country Code,Beneficiary Location:0:Geographic Code,Beneficiary Location:0:Geographic Code Type,Beneficiary Location:1:Name,Beneficiary Location:1:Country Code,Beneficiary Location:1:Geographic Code,Beneficiary Location:1:Geographic Code Type,Beneficiary Location:2:Name,Beneficiary Location:2:Country Code,Beneficiary Location:2:Geographic Code,Beneficiary Location:2:Geographic Code Type,Beneficiary Location:3:Name,Beneficiary Location:3:Country Code,Beneficiary Location:3:Geographic Code,Beneficiary Location:3:Geographic Code Type,Beneficiary Location:4:Name,Beneficiary Location:4:Country Code,Beneficiary Location:4:Geographic Code,Beneficiary Location:4:Geographic Code Type,Beneficiary Location:5:Name,Beneficiary Location:5:Country Code,Beneficiary Location:5:Geographic Code,Beneficiary Location:5:Geographic Code Type,Beneficiary Location:6:Name,Beneficiary Location:6:Country Code,Beneficiary Location:6:Geographic Code,Beneficiary Location:6:Geographic Code Type,Beneficiary Location:7:Name,Beneficiary Location:7:Country Code,Beneficiary Location:7:Geographic Code,Beneficiary Location:7:Geographic Code Type,From An Open Call?,The following fields are not in the 360 Giving Standard and are added by GrantNav.,Data Source,Publisher:Name,Recipient Region,Recipient District,Recipient District Geographic Code,Recipient Ward,Recipient Ward Geographic Code,Retrieved for use in GrantNav,License (see note),"Note, this file also contains OS data © Crown copyright and database right 2016, Royal Mail data © Royal Mail copyright and Database right 2016, National Statistics data © Crown copyright and database right 2015 & 2016, see http://grantnav.threesixtygiving.org/datasets/ for more information."
360G-EFF-19-0591,Grant to Impact Hub Birmingham,"Towards unrestricted core costs to support the development of ambitious plans for Civic Square, a multi purpose community hub in Birmingham",GBP,,50000,,2019-06-06T00:00:00.000Z,https://birmingham.impacthub.net/,,,12,,,,360G-EFF-001b000003VM0pl,Impact Hub Birmingham,,,B5 5NR,,,,,,,,,,GB-CHC-200051,Esmée Fairbairn Foundation,,,Main Grant,,England/West Midlands/Birmingham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://esmeefairbairn.org.uk/userfiles/Documents/Grants%20list/Esmee_Grants_Since_2008.json,Esmée Fairbairn Foundation,West Midlands,Birmingham District,E08000025,Nechells Ward,E05001197,2019-07-03T10:13:11+00:00,https://creativecommons.org/licenses/by/4.0/,
360G-EFF-18-1321,Grant to African Cultural Exchange Ltd (ACE dance and music),"Towards a programme of dance outreach to give young people from disadvantaged areas positive experiences from participating in arts, nurture their progress, and work with the wider community to raise aspirations.",GBP,,120000,,2019-05-22T00:00:00.000Z,http://www.acedanceandmusic.com,,,36,,,,360G-EFF-0010X00004GahbX,African Cultural Exchange Ltd (ACE dance and music),3471844,,B5 5SL,,,,,,,,,,GB-CHC-200051,Esmée Fairbairn Foundation,,,Main Grant,,England/West Midlands/Birmingham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://esmeefairbairn.org.uk/userfiles/Documents/Grants%20list/Esmee_Grants_Since_2008.json,Esmée Fairbairn Foundation,West Midlands,Birmingham District,E08000025,Nechells Ward,E05001197,2019-07-03T10:13:11+00:00,https://creativecommons.org/licenses/by/4.0/,
360G-TrussellTrust-L2Spar,Grant to Sparkhill Foodbank,Staffing for new community café project (2 posts),GBP,90000,51520,,2019-04-19T00:00:00+00:00,https://sparkhill.foodbank.org.uk,2019-04-01T00:00:00+00:00,2022-04-01T00:00:00+00:00,36,,,,GB-CHC-1100358,Narthex Sparkhill,1100358,,B11 2AQ,,,,,,,,,,GB-CHC-1110522,the Trussell Trust,,Asda FHCC,"Fight Hunger, Create Change",https://grants.foodbank.org.uk/,Sparkhill,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,https://grants.foodbank.org.uk/wp-content/uploads/2019/06/360-giving-FHCC-grants-310519.xlsx,the Trussell Trust,West Midlands,Birmingham District,E08000025,South Yardley Ward,E05001206,2019-07-03T12:31:10+00:00,https://creativecommons.org/licenses/by/4.0/,
360G-TrussellTrust-L2As&N,Grant to Aston & Nechells Foodbank,Set-up costs and rent for new food bank warehouse,GBP,59826,40824.54,,2019-03-26T00:00:00+00:00,https://astonnechells.foodbank.org.uk/,2019-04-01T00:00:00+00:00,2022-04-01T00:00:00+00:00,36,,,,GB-CHC-1141676,CAN DO 4:13,1141676,7508388,B7 4JH,,,,,,,,,,GB-CHC-1110522,the Trussell Trust,,Asda FHCC,"Fight Hunger, Create Change",https://grants.foodbank.org.uk/,Aston & Nechells,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,https://grants.foodbank.org.uk/wp-content/uploads/2019/06/360-giving-FHCC-grants-310519.xlsx,the Trussell Trust,West Midlands,Birmingham District,E08000025,Nechells Ward,E05001197,2019-07-03T12:31:10+00:00,https://creativecommons.org/licenses/by/4.0/,
360G-EFF-18-0948,Grant to BOM (Birmingham Open Media) CIC,"towards a programme of artistic development for autistic people aged 25 years plus, enabling people to develop work to a professional standard and pursue careers in the arts.",GBP,,179088,,2019-03-06T00:00:00.000Z,http://www.bom.org.uk,,,36,,,,360G-EFF-0010X00004DbFqX,BOM (Birmingham Open Media) CIC,,,B5 4EG,,,,,,,,,,GB-CHC-200051,Esmée Fairbairn Foundation,,,Main Grant,,England/West Midlands/Birmingham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://esmeefairbairn.org.uk/userfiles/Documents/Grants%20list/Esmee_Grants_Since_2008.json,Esmée Fairbairn Foundation,West Midlands,Birmingham District,E08000025,Ladywood Ward,E05001193,2019-07-03T10:13:11+00:00,https://creativecommons.org/licenses/by/4.0/,
360G-EFF-18-1284,Grant to Birmingham Open Spaces Forum,towards the short-term cost of operations (over four months or so) and to enable BOSF to undertake a strategic review and explore alternative theories of change.,GBP,,18233,,2019-02-06T00:00:00.000Z,http://www.bosf.org.uk,,,4,,,,GB-CHC-1170171,Birmingham Open Spaces Forum,1170171,,B14 7TQ,,,,,,,,,,GB-CHC-200051,Esmée Fairbairn Foundation,,,Main Grant,,England/West Midlands/Birmingham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://esmeefairbairn.org.uk/userfiles/Documents/Grants%20list/Esmee_Grants_Since_2008.json,Esmée Fairbairn Foundation,West Midlands,Birmingham District,E08000025,Moseley and Kings Heath Ward,E05001196,2019-07-03T10:13:11+00:00,https://creativecommons.org/licenses/by/4.0/,
360G-EFF-18-1173,Grant to Birmingham Settlement,Towards the generation of an integrated development plan that analyses and prioritises the opportunities before the Settlement to the maximum benefit of the local community.,GBP,,20000,,2019-01-28T00:00:00.000Z,http://www.birminghamsettlement.org.uk,,,3,,,,360G-EFF-001b000003VLopB,Birmingham Settlement,517303,,B6 6NS,,,,,,,,,,GB-CHC-200051,Esmée Fairbairn Foundation,,,Main Grant,,England/West Midlands/Birmingham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://esmeefairbairn.org.uk/userfiles/Documents/Grants%20list/Esmee_Grants_Since_2008.json,Esmée Fairbairn Foundation,West Midlands,Birmingham District,E08000025,Aston Ward,E05001179,2019-07-03T10:13:11+00:00,https://creativecommons.org/licenses/by/4.0/,
360G-TrussellTrust-L1Erdi,Grant to Erdington Foodbank,New food bank warehouse premises and equipment,GBP,34500,21184.36,,2018-12-28T00:00:00+00:00,https://erdington.foodbank.org.uk,2019-01-01T00:00:00+00:00,2021-12-31T00:00:00+00:00,36,,,,GB-CHC-1161641,Erdington Foodbank,1161641,,B24 8AD,,,,,,,,,,GB-CHC-1110522,the Trussell Trust,,Asda FHCC,"Fight Hunger, Create Change",https://grants.foodbank.org.uk/,Erdington,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,https://grants.foodbank.org.uk/wp-content/uploads/2019/06/360-giving-FHCC-grants-310519.xlsx,the Trussell Trust,West Midlands,Birmingham District,E08000025,Erdington Ward,E05001186,2019-07-03T12:31:10+00:00,https://creativecommons.org/licenses/by/4.0/,
360G-TrussellTrust-L1B30.,Grant to B30 Foodbank,Specialist advisor to support food bank clients,GBP,34500,35202.6,,2018-12-14T00:00:00+00:00,https://b30.foodbank.org.uk,2019-01-01T00:00:00+00:00,2021-12-31T00:00:00+00:00,36,,,,GB-CHC-1143091,The Cotteridge Church,1143091,,B30 3EJ,,,,,,,,,,GB-CHC-1110522,the Trussell Trust,,Asda FHCC,"Fight Hunger, Create Change",https://grants.foodbank.org.uk/,Cotteridge,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,https://grants.foodbank.org.uk/wp-content/uploads/2019/06/360-giving-FHCC-grants-310519.xlsx,the Trussell Trust,West Midlands,Birmingham District,E08000025,Bournville Ward,E05001183,2019-07-03T12:31:10+00:00,https://creativecommons.org/licenses/by/4.0/,
360G-HenrySmithCharity-20181180,Grant to Haven Community Project,"towards three years' salary of a full time Youth and Community Worker at a project providing an advice service, youth sessions and a community cafe in a deprived area of Birmingham",GBP,94436,94400,,2018-12-12T00:00:00+00:00,,,,36,,,,GB-CHC-1138686,Haven Community Project,1138686,,B32 2NR,,,,,,,,,,GB-CHC-230102,The Henry Smith Charity ,,,Strengthening Communities,,West Midlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.henrysmithcharity.org.uk/wp-content/uploads/2019/03/360-Giving-Format-Grants-data-Jan-2012-Dec-2018-.xlsx,The Henry Smith Charity,West Midlands,Birmingham District,E08000025,Quinton Ward,E05001201,2019-07-03T10:18:29+00:00,https://creativecommons.org/licenses/by/4.0/,
360G-barrowcadbury-0060N00000X2R4t,Hosting Birmingham NGO migration co-ordination project,For hosting the secretariat of the NGO migration networking and advocacy project.,GBP,,192000,,2018-12-05T00:00:00+00:00,https://www.birminghamsettlement.org.uk,2018-12-05T00:00:00+00:00,2021-11-30T00:00:00+00:00,36,,,,GB-COH-01946604,Birmingham Settlement,517303,1946604,B6 6NS,,,,,,,,,,GB-CHC-1115476,Barrow Cadbury Trust,,,Migration,https://www.barrowcadbury.org.uk/what-we-do/programmes/migration/,Birmingham & Black Country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.barrowcadbury.org.uk/wp-content/uploads/2019/01/Copy-of-2018-12-360-Giving.xlsx,Barrow Cadbury Trust,West Midlands,Birmingham District,E08000025,Aston Ward,E05001179,2019-07-03T10:11:37+00:00,https://creativecommons.org/licenses/by/4.0/,
360G-WFET-0061r00000yUAYaAAO,Fox Hollies Community Association CIO,"Funding to develop youth provision for young people across the Acocks Green Council ward, by employing a Youth Project Manager for a period of 6 months to help develop the community-led projects",GBP,,22710,,2018-11-22T00:00:00+00:00,,,,,,,,360G-WFET-ORG:0011r00001xmeF6,Fox Hollies Community Association CIO,-,,B27 7RA,,,,,,,,,,GB-CHC-1126007,Wates Family Enterprise Trust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.watesgiving.org/wp-content/uploads/2019/01/WFET-360-Giving-Report-Jan-to-Dec-2018-FINAL.xlsx,Wates Family Enterprise Trust,West Midlands,Birmingham District,E08000025,Acocks Green Ward,E05001178,2019-07-03T12:33:25+00:00,https://creativecommons.org/licenses/by/4.0/,
360G-RobertsonTrust-0060X00000Vd8o0QAB,The Scotland PGL Activity Weekend,The Scotland PGL Activity Weekend,GBP,,2500,,2018-11-21T00:00:00+00:00,,,,,,,,GB-CHC-1123290,Little Hearts Matter,1123290,,,MD,E08000025,Birmingham,,,,,,,GB-SC-SC002970,The Robertson Trust,,,,,Perth and Kinross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://s3-eu-west-1.amazonaws.com/files.therobertsontrust.org.uk/Award_Listings/TRT_360_Giving_Extract_@_29.03.2019.xlsx,The Robertson Trust,West Midlands,Birmingham District,E08000025,,,2019-07-03T12:30:59+00:00,https://creativecommons.org/licenses/by/4.0/,
360G-WFET-0061r00000yroqOAAQ,Ladywood Community Project,"We are hoping to sponsor Ladywood, in holding the Christmas Party for 2018. This is held as a community event, to help strengthen the social ties in the community.",GBP,,2500,,2018-11-20T00:00:00+00:00,,,,,,,,360G-WFET-ORG:0011r00002435Jv,Ladywood Community Project,-,,B16 8RP,,,,,,,,,,GB-CHC-1126007,Wates Family Enterprise Trust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.watesgiving.org/wp-content/uploads/2019/01/WFET-360-Giving-Report-Jan-to-Dec-2018-FINAL.xlsx,Wates Family Enterprise Trust,West Midlands,Birmingham District,E08000025,Ladywood Ward,E05001193,2019-07-03T12:33:25+00:00,https://creativecommons.org/licenses/by/4.0/,
360G-ptc-gr-02365,Impact Hub Birmingham CIC,Grant to Impact Hub Birmingham CIC,GBP,49650,49650,37237.5,2018-10-30T00:00:00+00:00,,2018-11-01T00:00:00+00:00,2019-10-31T00:00:00+00:00,11,,,,GB-COH-09212533,Impact Hub Birmingham CIC,,9212533,B5 5NR,,,,,,,,,,GB-CHC-1159982,Power to Change Trust,,,Homes in Community Hands (HiCH),https://www.powertochange.org.uk/get-support/programmes/community-housing/,,GB,E01009143,LSOA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,https://www.powertochange.org.uk/wp-content/uploads/2017/07/Copy-of-360-Giving-Data-PTC-up-to-15th-May-2019-Final-003-1.xlsx,Power to Change,West Midlands,Birmingham District,E08000025,Nechells Ward,E05001197,2019-07-03T10:15:40+00:00,https://creativecommons.org/licenses/by/4.0/,
360G-ptc-gr-02444,Newbigin Community Trust,Grant to Newbigin Community Trust,GBP,500,500,500,2018-10-24T00:00:00+00:00,,2018-11-01T00:00:00+00:00,,,,,,GB-COH-CE008134,Newbigin Community Trust,1170076,CE008134,B18 4PT,,,,,,,,,,GB-CHC-1159982,Power to Change Trust,,,CB Panel - Seed Fund (CBPSF),https://www.powertochange.org.uk/get-inspired/seed-fund/,,GB,E01009361,LSOA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,https://www.powertochange.org.uk/wp-content/uploads/2017/07/Copy-of-360-Giving-Data-PTC-up-to-15th-May-2019-Final-003-1.xlsx,Power to Change,West Midlands,Birmingham District,E08000025,Soho Ward,E05001205,2019-07-03T10:15:40+00:00,https://creativecommons.org/licenses/by/4.0/,
360G-ptc-gr-02358,Witton Lodge Community Association,Grant to Witton Lodge Community Association,GBP,74145,74145,74145,2018-10-05T00:00:00+00:00,,2018-10-01T00:00:00+00:00,2019-09-30T00:00:00+00:00,11,,,,GB-COH-02903760,Witton Lodge Community Association,1039005,2903760,B23 5JD,,,,,,,,,,GB-CHC-1159982,Power to Change Trust,,,Homes in Community Hands (HiCH),https://www.powertochange.org.uk/get-support/programmes/community-housing/,,GB,E01009121,LSOA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,https://www.powertochange.org.uk/wp-content/uploads/2017/07/Copy-of-360-Giving-Data-PTC-up-to-15th-May-2019-Final-003-1.xlsx,Power to Change,West Midlands,Birmingham District,E08000025,Kingstanding Ward,E05001192,2019-07-03T10:15:40+00:00,https://creativecommons.org/licenses/by/4.0/,
360G-HenrySmithCharity-20180568,Grant to Birmingham LGBT,towards three years' continuation funding of the salary of an IDVA at an LGBTQ domestic violence project in Birmingham,GBP,113208,113200,,2018-09-12T00:00:00+00:00,,,,36,,,,GB-CHC-1141568,Birmingham LGBT,1141568,,B1 1EQ,,,,,,,,,,GB-CHC-230102,The Henry Smith Charity ,,,Improving Lives,,West Midlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.henrysmithcharity.org.uk/wp-content/uploads/2019/03/360-Giving-Format-Grants-data-Jan-2012-Dec-2018-.xlsx,The Henry Smith Charity,West Midlands,Birmingham District,E08000025,Nechells Ward,E05001197,2019-07-03T10:18:29+00:00,https://creativecommons.org/licenses/by/4.0/,
360G-HenrySmithCharity-20180738,Grant to Changes UK CIC,towards three years' running costs of the 'Recovery Academy' project providing an eight-week residential rehabilitation programme for individuals suffering from drug and alcohol addictions in Birmingham,GBP,157473,158000,,2018-09-12T00:00:00+00:00,,,,36,,,,360G-HSC-ORG-Changes-UK-CIC,Changes UK CIC,,,B9 4DY,,,,,,,,,,GB-CHC-230102,The Henry Smith Charity ,,,Improving Lives,,West Midlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.henrysmithcharity.org.uk/wp-content/uploads/2019/03/360-Giving-Format-Grants-data-Jan-2012-Dec-2018-.xlsx,The Henry Smith Charity,West Midlands,Birmingham District,E08000025,Nechells Ward,E05001197,2019-07-03T10:18:29+00:00,https://creativecommons.org/licenses/by/4.0/,
360G-HenrySmithCharity-20181023,Grant to Home-Start Stockland Green Erdington,towards three years' running costs of a Home-Start in a deprived area of Birmingham,GBP,90000,90000,,2018-09-12T00:00:00+00:00,,,,36,,,,GB-CHC-1122603,Home-Start Stockland Green Erdington,1122603,,B24 8AD,,,,,,,,,,GB-CHC-230102,The Henry Smith Charity ,,,Improving Lives,,West Midlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.henrysmithcharity.org.uk/wp-content/uploads/2019/03/360-Giving-Format-Grants-data-Jan-2012-Dec-2018-.xlsx,The Henry Smith Charity,West Midlands,Birmingham District,E08000025,Erdington Ward,E05001186,2019-07-03T10:18:29+00:00,https://creativecommons.org/licenses/by/4.0/,
360G-barrowcadbury-0060N00000VbxJo,WMFN's strategic role and impact,To support the continued development of WMFN,GBP,,15000,,2018-09-05T00:00:00+00:00,http://ctwm.net/,2018-09-05T00:00:00+00:00,2021-03-31T00:00:00+00:00,31,,,,GB-CHC-1173579,West Midlands Funders Network,1173579,,B17 9AA,,,,,,,,,,GB-CHC-1115476,Barrow Cadbury Trust,,,Promoting Philanthropy,,West Midlands other than Birmingham & Black Country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.barrowcadbury.org.uk/wp-content/uploads/2019/01/Copy-of-2018-12-360-Giving.xlsx,Barrow Cadbury Trust,West Midlands,Birmingham District,E08000025,Quinton Ward,E05001201,2019-07-03T10:11:37+00:00,https://creativecommons.org/licenses/by/4.0/,
360G-RobertsonTrust-0060X00000WHBfYQAX,Support for Scottish Families,Support for Scottish Families,GBP,,10000,,2018-08-27T00:00:00+00:00,,,,,,,,GB-SC-SC044387,Children's Liver Disease Foundation,SC044387,,,MD,E08000025,Birmingham,,,,,,,GB-SC-SC002970,The Robertson Trust,,,,,Scotland Wide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://s3-eu-west-1.amazonaws.com/files.therobertsontrust.org.uk/Award_Listings/TRT_360_Giving_Extract_@_29.03.2019.xlsx,The Robertson Trust,West Midlands,Birmingham District,E08000025,,,2019-07-03T12:30:59+00:00,https://creativecommons.org/licenses/by/4.0/,
360G-nesta-0061p00000i0GwG,AC00813,Social and Digital Health programme grant to The Primary Care Alliance Ltd Grant Ref AC00813,GBP,,5000,5000,2018-08-20T00:00:00+00:00,http://www.primarycarealliances-fgseh.co.uk,2018-08-20T00:00:00+00:00,2018-08-16T00:00:00+00:00,0,,,,GB-COH-03652706,The Primary Care Alliance Ltd,,3652706,B13 8JP,,,,,,,,,,GB-CHC-1144091,Nesta,,,Social and Digital Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.nesta.org.uk/documents/1198/360Giving_Data_26022019.xlsx,Nesta,West Midlands,Birmingham District,E08000025,Moseley and Kings Heath Ward,E05001196,2019-07-03T10:14:58+00:00,https://creativecommons.org/licenses/by/4.0/,
360G-tuixen-a0220000013AhIpAAK,Core grant to City United,"City United engage young people in Birmingham who are at risk of ""negative behaviours"", by mentoring, training and supporting them into positive, purposeful roles in society.",GBP,,25000,,2018-08-10T00:00:00+00:00,http://www.cityunited.org,,,,,,,GB-CHC-1121305,City United,1121305,,B6 7SS,,,,,,,,,,GB-CHC-1081124,Tuixen Foundation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://tuixen.org.uk/wp-content/uploads/2019/02/360-giving-data-November-2018.xlsx,Tuixen Foundation,West Midlands,Birmingham District,E08000025,Nechells Ward,E05001197,2019-07-03T12:33:16+00:00,https://creativecommons.org/licenses/by/4.0/,
360G-barrowcadbury-0060N00000VdzCN,Social Value & Social Economy Task Force,To develop social value and social enterprise opportunities within Birmingham and the West Midlands Combined Authority.,GBP,,20000,,2018-08-03T00:00:00+00:00,http://www.bssec.org.uk,2018-09-01T00:00:00+00:00,2019-08-31T00:00:00+00:00,12,,,,GB-COH-07992674,Birmingham & Solihull Social Economy Consortium CIC,,7992674,B3 2ES,,,,,,,,,,GB-CHC-1115476,Barrow Cadbury Trust,,,Economic Justice,https://www.barrowcadbury.org.uk/what-we-do/programmes/economic-justice/,Birmingham & Black Country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.barrowcadbury.org.uk/wp-content/uploads/2019/01/Copy-of-2018-12-360-Giving.xlsx,Barrow Cadbury Trust,West Midlands,Birmingham District,E08000025,Ladywood Ward,E05001193,2019-07-03T10:11:37+00:00,https://creativecommons.org/licenses/by/4.0/,
360G-blf-0031063250,Youth Programme and Befriending,This funding will be used to continue and expand a youth programme which offers activities and support to young people who have experienced the effects of abuse. The project aims to provide positive community engagement by bringing people together and building relationships.,GBP,,10000,,2018-08-01T00:00:00+00:00,,2018-08-18T00:00:00+00:00,2019-08-18T00:00:00+00:00,12,,,,GB-COH-9312220,Open Arms Hall Green CiC,,9312220,,,E05001187,Hall Green,,E08000025,Birmingham,,,,360G-blf,The Big Lottery Fund,,AFEX1,National Lottery Awards for All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.tnlcommunityfund.org.uk/media/open-data/TNLCF_Grant_Data_2018-2019.xlsx,The National Lottery Community Fund,West Midlands,Birmingham District,E08000025,Hall Green Ward,E05001187,2019-07-03T12:21:26+00:00,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,
360G-blf-0031063277,Unity Through Community Engagement,"This funding will be used to host a community engagement event with activities and workshops for local residents, aiming to bring people together.",GBP,,10000,,2018-08-01T00:00:00+00:00,,2018-08-19T00:00:00+00:00,2019-08-19T00:00:00+00:00,12,,,,GB-COH-8057361,Birmingham Community & Development Scheme LTD,,8057361,,,E05001195,Lozells and East Handsworth,,E08000025,Birmingham,,,,360G-blf,The Big Lottery Fund,,AFEX1,National Lottery Awards for All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.tnlcommunityfund.org.uk/media/open-data/TNLCF_Grant_Data_2018-2019.xlsx,The National Lottery Community Fund,West Midlands,Birmingham District,E08000025,Lozells and East Handsworth Ward,E05001195,2019-07-03T12:21:26+00:00,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,
360G-blf-0031063185,Kitchen Refurbishment,"This funding will be used to refurbish the kitchen in the community building, aiming to attract new visitors and support local voluntary organisations.",GBP,,10000,,2018-08-01T00:00:00+00:00,,2018-08-22T00:00:00+00:00,2019-08-22T00:00:00+00:00,12,,,,360G-blf-org-All Saints Cafe-Other : Non charitable unincorporated organisation-01011999-E08000025,All Saints Cafe,,,,,E05001196,Moseley and Kings Heath,,E08000025,Birmingham,,,,360G-blf,The Big Lottery Fund,,AFEX1,National Lottery Awards for All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.tnlcommunityfund.org.uk/media/open-data/TNLCF_Grant_Data_2018-2019.xlsx,The National Lottery Community Fund,West Midlands,Birmingham District,E08000025,Moseley and Kings Heath Ward,E05001196,2019-07-03T12:21:26+00:00,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,
360G-blf-0031063217,Summer Holiday Playscheme,"A summer holiday play scheme will be funded for children aged seven to 16 years. It will keep children occupied over the school holiday, whilst having fun, learning new skills and making new friends.",GBP,,4200,,2018-08-01T00:00:00+00:00,,2018-09-03T00:00:00+00:00,2019-09-03T00:00:00+00:00,12,,,,GB-CHC-1105526,Al-Ansar Project Playscheme,1105526,,,,E05001207,Sparkbrook,,E08000025,Birmingham,,,,360G-blf,The Big Lottery Fund,,AFEX1,National Lottery Awards for All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.tnlcommunityfund.org.uk/media/open-data/TNLCF_Grant_Data_2018-2019.xlsx,The National Lottery Community Fund,West Midlands,Birmingham District,E08000025,Sparkbrook Ward,E05001207,2019-07-03T12:21:26+00:00,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,
360G-blf-0031062972,Family Fit 2,"This project will provide people with early intervention tools to tackle root causes of poor health and obesity. A 12 week programme of activities will be on offer including badminton, walking, dancing, yoga, swimming, cycling and football, as well as health and nutrition awareness workshops. This will promote physical and mental wellbeing amongst local people, helping them to build relationships with each other.",GBP,,309360,,2018-07-26T00:00:00+00:00,,2018-10-23T00:00:00+00:00,2021-10-23T00:00:00+00:00,36,,,,GB-CHC-1141498,Legacy WM,1141498,,,,E05001205,Soho,,E08000025,Birmingham,,,,360G-blf,The Big Lottery Fund,,RC6,Reaching Communities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.tnlcommunityfund.org.uk/media/open-data/TNLCF_Grant_Data_2018-2019.xlsx,The National Lottery Community Fund,West Midlands,Birmingham District,E08000025,Soho Ward,E05001205,2019-07-03T12:21:26+00:00,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,
360G-blf-0031062918,West Midlands Paraclimbing Club,This funding will be used to purchase specialist equipment so people living with disabilities can access and coach paraclimbing activities. The project aims to support their physical fitness and mental wellbeing while building social relationships.,GBP,,10000,,2018-07-25T00:00:00+00:00,,2018-08-09T00:00:00+00:00,2019-08-09T00:00:00+00:00,12,,,,360G-blf-org-West Midlands Paraclimbing Club-Charity : Charitable Unincorporated Association-01011999-E08000025,West Midlands Paraclimbing Club,,,,,E05001179,Aston,,E08000025,Birmingham,,,,360G-blf,The Big Lottery Fund,,AFEX1,National Lottery Awards for All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.tnlcommunityfund.org.uk/media/open-data/TNLCF_Grant_Data_2018-2019.xlsx,The National Lottery Community Fund,West Midlands,Birmingham District,E08000025,Aston Ward,E05001179,2019-07-03T12:21:26+00:00,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,
